City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,bjelovar,45.8986,16.8489,39.49,94,49,5.21,HR,1734573794
292,tazacorte,28.629,-17.9293,68.14,17,0,11.01,ES,1734573795
293,muisne,0.6,-80.0333,76.57,83,95,9.26,EC,1734573797
294,shindand,33.3029,62.1474,36.48,35,0,3.36,AF,1734573798
295,ghanzi,-21.5667,21.7833,71.1,75,91,3.47,BW,1734573799
296,vorgashor,67.5833,63.95,-9.69,100,93,3.85,RU,1734573800
297,dakhla,23.6848,-15.958,64.98,40,100,16.11,EH,1734573802
298,gorshechnoye,51.5244,38.0365,10.49,93,18,7.87,RU,1734573803
299,el nido,11.1858,119.3956,85.14,80,99,8.61,PH,1734573804
300,island harbour,50.724,-1.2758,52.02,70,96,14.0,GB,1734573805
301,sogndal,61.2283,7.1003,41.38,80,100,11.5,NO,1734573806
302,tura,25.5198,90.2201,62.85,62,100,1.86,IN,1734573807
303,broken hill,-31.95,141.4333,86.97,21,0,14.18,AU,1734573809
304,mahibadhoo,3.7833,72.9667,83.05,73,76,16.82,MV,1734573810
305,campoalegre,2.6849,-75.3231,81.3,83,74,6.04,CO,1734573811
306,kudahuvadhoo,2.6708,72.8944,82.71,78,44,17.11,MV,1734573812
307,qamdo,31.1667,97.2333,26.51,31,1,3.67,CN,1734573809
308,happy valley-goose bay,53.3168,-60.3315,23.31,74,100,3.44,CA,1734573613
309,sola,-13.8833,167.55,80.2,81,100,5.32,VU,1734573817
310,whistler,50.1164,-122.9695,33.03,100,100,2.3,CA,1734573806
311,dubbo,-32.25,148.6167,78.93,34,0,16.11,AU,1734573820
312,urangan,-25.3,152.9,76.37,66,100,26.08,AU,1734573821
313,chillicothe,39.3331,-82.9824,39.25,89,100,5.99,US,1734573404
314,kenora,49.8167,-94.4337,-4.23,92,20,3.44,CA,1734573823
315,bucerias,20.75,-105.3333,76.98,83,0,6.91,MX,1734573824
316,vilyuchinsk,52.9306,158.4028,34.07,86,100,3.8,RU,1734573825
317,misratah,32.3754,15.0925,61.88,66,83,15.77,LY,1734573827
318,juba,4.8517,31.5825,76.6,46,60,1.14,SS,1734573828
319,eyl,7.9803,49.8164,73.56,77,100,16.04,SO,1734573830
320,fale old settlement,-9.3852,-171.2468,83.28,78,84,15.64,TK,1734573831
321,kolonia town,6.964,158.206,87.91,74,100,9.22,FM,1734573833
322,impfondo,1.6381,18.0667,74.12,77,100,2.89,CG,1734573834
323,minas de marcona,-15.2119,-75.1103,60.21,83,100,9.4,PE,1734573626
324,newman,37.3138,-121.0208,49.05,89,100,1.01,US,1734573836
325,gurupi,-11.7292,-49.0686,73.65,93,88,3.53,BR,1734573602
326,mezhdurechenskiy,59.6,65.9333,6.44,100,92,3.18,RU,1734573838
327,dhidhdhoo,6.8833,73.1,82.54,75,26,6.53,MV,1734573840
328,barcelos,41.5388,-8.6151,58.6,91,28,11.86,PT,1734573722
329,shamakhi,40.6314,48.6414,35.24,77,98,12.3,AZ,1734573842
330,nadi,-17.8,177.4167,86.0,66,20,10.36,FJ,1734573727
331,albardon,-31.4372,-68.5256,78.87,32,0,5.01,AR,1734573844
332,el porvenir,13.7617,-87.3458,73.54,70,23,6.31,HN,1734573846
333,ciudad guayana,8.3533,-62.6528,80.26,71,71,8.81,VE,1734573848
334,baardheere,2.3446,42.2764,74.95,83,0,6.35,SO,1734573849
335,tindouf,27.6711,-8.1474,45.05,42,0,5.75,DZ,1734573850
336,kavaratti,10.5669,72.642,80.44,70,64,6.82,IN,1734573851
337,port alfred,-33.5906,26.891,64.18,94,50,2.13,ZA,1734573852
338,kikwit,-5.041,18.8162,69.87,96,79,1.59,CD,1734573853
339,oulad teima,30.3947,-9.209,58.28,86,0,6.44,MA,1734573855
340,cafayate,-26.073,-65.9761,65.61,83,66,7.4,AR,1734573627
341,ust'-uda,54.1742,103.0304,-7.6,100,70,2.57,RU,1734573857
342,aver-o-mar,41.4078,-8.7812,61.36,94,75,8.05,PT,1734573858
343,kayangel,8.0823,134.7173,83.89,72,47,8.03,PW,1734573859
344,nizhniy lomov,53.5304,43.6766,7.97,93,100,13.29,RU,1734573861
